word,count
完事,30
先回去,30
一整天,30
不远,30
帅,30
小龙,30
三分,30
穿衣,30
烂,30
担心,30
不乐意,30
两只,30
豆腐,30
没洗,30
偏,30
礼物,30
傻子,30
炸,30
上火,30
累死,30
外人,30
惩罚,30
拿个,30
不热,30
拿到,30
十块,30
碰到,30
去过,30
玫瑰,30
万达,30
短,30
黑黑,30
拿捏,29
梦里,29
伤害,29
有趣,29
撑,29
小哥,29
使,29
好贵,29
个钟,29
规律,29
展开,29
假装,29
k,29
来得及,29
玩意,29
勤快,29
公交,29
呐,29
欲擒故纵,29
反过,29
按摩,29
光头,29
瞎,29
一百,29
看得出,29
表白,29
星期五,29
滤镜,29
入职,29
千灯,29
草莓,29
那人,29
同居,29
鸡翅,29
更新,29
换成,29
二楼,29
蛋,29
大姨妈,29
大姨,29
行李,29
太快,29
拜拜,29
臭臭,29
吃不下,29
这么晚,29
模糊,29
人多,29
打架,29
坐车,29
腻,29
转账,29
搂,29
惠州,29
西朗,29
美,28
疫苗,28
公室,28
办公室,28
废,28
现场,28
香菜,28
操作,28
22,28
真诚,28
⃣,28
怪不得,28
狠,28
上床,28
加上,28
好笑,28
几块,28
好几,28
迷糊,28
上门,28
理论,28
默契,28
路边,28
文字,28
预约,28
一两,28
到处,28
辞职,28
成功,28
不接,28
我头,28
咳嗽,28
报告,28
饿死,28
热情,28
不熟,28
葱,28
富婆,28
纸,28
当下,28
面膜,28
床单,28
特意,28
到手,28
改变,28
第一天,28
挖,28
导航,28
一包,28
几号,28
占,28
总得,28
反馈,28
小事,28
退房,28
烤,27
肯德基,27
肯德,27
听听,27
得来,27
娃娃,27
静音,27
困不困,27
喝咖啡,27
通勤,27
框,27
蓝,27
🐔,27
烧,27
手指,27
自助,27
男女,27
子,27
房东,27
美团,27
垃圾桶,27
麻,27
满意,27
学会,27
听说,27
面包,27
我放,27
扫,27
猜错,27
部门,27
我快,27
恐怖片,27
鼻涕,27
pua,27
酸,27
饺子,27
定,27
一身,27
腰,27
试一下,27
投,27
那能,27
电视剧,27
一段时间,27
不少,27
楼梯,27
不在乎,27
舍不得你,27
阶段,27
免疫,27
睡眠,27
健康,27
内衣,27
黑黑的,27
五个,26
高高,26
不能不,26
现实,26
热量,26
不怎么,26
怼,26
总会,26
商场,26
留点,26
很想,26
太小,26
流氓,26
丢人,26
不觉,26
吃面,26
健身,26
杯,26
💩,26
太难,26
普通话,26
在线,26
沉默,26
不好玩,26
钓鱼,26
压根,26
病,26
网友,26
隔离,26
放心,26
影院,26
趴,26
师傅,26
老公,26
好多天,26
楼上,26
响,26
超市,26
666,26
自动,26
出轨,26
发抖,26
洗漱,26
知错,26
两年,26
怪气,26
阴阳怪气,26
红,26
单独,26
清,26
等于,26
虚,26
多喝水,26
有点像,26
脏,26
摔,26
五一,26
撇嘴,26
困困,26
21,25
青菜,25
油腻,25
卧槽,25
读,25
体验,25
十个,25
上线,25
伤感,25
糖,25
打扰,25
屏幕,25
实习,25
却,25
吃零食,25
cpu,25
提示,25
藏,25
已读,25
小号,25
1800,25
文案,25
通宵,25
找点,25
无所谓,25
长袖,25
越秀,25
gay,25
可好,25
题,25
莫不,25
链接,25
不懂事,25
🉑,25
冷静,25
发展,25
粤语,25
打招呼,25
再也,25
扑,25
夸夸,25
十五分,25
忍,25
累人,25
直,25
老鼠,25
动力,25
开个,25
外,25
锅,25
性感,25
搞定,25
平台,25
顺利,25
车里,25
考,25
大道,25
政府,25
给钱,25
求求,25
口腔,25
捂脸,25
自由,25
加会班,25
洗洗,25
仔细,25
培养,25
圆,25
指甲,25
捶,25
点到,25
不难,25
我醒,25
口水,25
粽子,25
🔥,25
没开,25
没电,25
多分,25
一趟,25
这张,25
」,25
tb,25
「,25
主理,25
衣柜,25
工衣,25
宝玉,25
不失,24
一颗,24
д,24
马,24
脱单,24
巨,24
兄弟,24
代入,24
η,24
猛,24
姐妹,24
模式,24
太大,24
铲,24
岭南,24
禅城区,24
疫情,24
背景,24
绿,24
脑袋,24
我下,24
腰子,24
间,24
飘,24
兜,24
速度,24
不知不觉,24
深,24
几句,24
负,24
流,24
百年,24
注意力,24
堂哥,24
迟,24
他会,24
过期,24
吓死,24
静静,24
机智,24
装傻,24
踢,24
宠物,24
冻死,24
苹果,24
场景,24
马路,24
电动,24
轻轻,24
记仇,24
猪肉,24
我加,24
上个,24
不下雨,24
jio,24
价格,24
里边,24
非,24
捅,24
晕乎乎,24
十多,24
珍惜,24
意义,24
柠檬,24
开房,24
年龄,24
膜,24
萝卜,24
左边,24
线上,24
喝点,24
不洗,24
公寓,24
缺,24
睡大觉,24
呼呼,24
号线,24
湿湿的,24
晾衣,24
晾衣服,24
不换,24
菜刀,24
纯,24
真哒,24
辣条,24
正面,24
cn,24
火花,24
抄手,24
内存,24
惊恐,24
表演,23
举,23
取,23
嗷嗷,23
孤独,23
套餐,23
说不出,23
省,23
带我去,23
长相,23
过头,23
入睡,23
过夜,23
长隆,23
发个,23
带上,23
凉快,23
网易,23
主人,23
他家,23
异地,23
交流,23
稍微,23
不点,23
工作日,23
放下,23
心碎,23
氛围,23
不小,23
质量,23
去不去,23
呆,23
别烦,23
单,23
23,23
退休,23
类型,23
花钱,23
娶,23
大部,23
连续,23
45,23
服,23
交接,23
借口,23
看得出来,23
人会,23
十五分钟,23
发财,23
伤口,23
纳闷,23
炒菜,23
一点半,23
屋,23
多多,23
难得,23
不是故意,23
两边,23
半点,23
这有,23
未来,23
餐厅,23
耍,23
瑟瑟,23
便,23
用心,23
不上,23
火辣,23
淡,23
地上,23
目的,23
两下,23
解决问题,23
京东,23
*,23
毛毛雨,23
尬,23
勉强,23
方法,23
反而,23
困难,23
打雷,23
小黑,23
健忘,23
作用,23
你姐,23
好好看,23
南海区,23
海区,23
危险,23
寰宇,23
饮料,23
不聊,23
远离,23
酱油,23
叫车,23
tk,23
护理,23
qqny,23
咖,23
男孩,22
溜,22
掐,22
上下班,22
八点半,22
对话,22
发工资,22
吹风,22
我信,22
化,22
太热,22
不买,22
做个,22
好累,22
东,22
默认,22
💰,22
群里,22
着急,22
投诉,22
真的假,22
图书馆,22
图书,22
书馆,22
憋着,22
狡辩,22
系统,22
不关,22
川,22
几百年,22
两条,22
牛蛙,22
插,22
有点烦,22
台阶,22
妆,22
我整,22
前两天,22
惊喜,22
抽烟,22
